Timestamp,Event_Type,Score,Pitch,Yaw,Roll,EAR,Severity
2026-01-23 16:17:01,NORMAL,100.00,-177.30,24.58,0.93,0.2861,LOW
2026-01-23 16:17:02,NORMAL,100.00,179.09,19.31,0.77,0.1330,LOW
2026-01-23 16:17:02,DROWSY,95.00,179.81,18.88,0.82,0.1499,LOW
2026-01-23 16:17:02,NORMAL,0.50,-178.57,21.02,0.36,0.2157,CRITICAL
2026-01-23 16:17:03,NORMAL,1.50,-178.37,20.87,-0.01,0.2382,CRITICAL
2026-01-23 16:17:04,NORMAL,16.50,-176.42,18.84,-5.49,0.2869,CRITICAL
2026-01-23 16:17:05,NORMAL,31.50,N/A,N/A,N/A,0.0000,HIGH
2026-01-23 16:17:06,NORMAL,46.50,-176.24,22.51,-7.90,0.3419,HIGH
2026-01-23 16:17:07,NORMAL,61.50,-141.08,18.88,-173.24,0.2351,MEDIUM
2026-01-23 16:17:08,NORMAL,76.50,-179.07,12.53,-9.77,0.3164,LOW
2026-01-23 16:17:08,DISTRACTED,81.50,156.56,-60.95,-160.15,0.1612,LOW
2026-01-23 16:17:08,NORMAL,79.00,169.21,-29.74,12.55,0.1842,LOW
2026-01-23 16:17:08,DISTRACTED,76.00,156.20,-64.21,-158.16,0.1940,LOW
2026-01-23 16:17:08,NORMAL,73.50,168.41,-29.88,14.45,0.2129,LOW
2026-01-23 16:17:08,DISTRACTED,70.50,154.54,-65.93,-154.87,0.2214,LOW
2026-01-23 16:17:09,DISTRACTED,49.50,159.26,-64.77,-156.41,0.2675,HIGH
2026-01-23 16:17:09,NORMAL,32.00,169.29,-26.35,15.97,0.2756,HIGH
2026-01-23 16:17:10,NORMAL,43.50,176.18,27.49,-10.63,0.2370,HIGH
2026-01-23 16:17:11,NORMAL,58.50,175.58,34.73,-10.32,0.2719,MEDIUM
2026-01-23 16:17:12,NORMAL,73.50,-174.49,29.50,-6.13,0.2763,LOW
2026-01-23 16:17:13,NORMAL,88.50,-172.32,27.89,-4.32,0.2817,LOW
2026-01-23 16:17:14,NORMAL,100.00,-171.54,23.00,-3.37,0.2871,LOW
2026-01-23 16:17:16,NORMAL,100.00,-172.69,-10.62,0.08,0.3187,LOW
2026-01-23 16:17:17,NORMAL,100.00,-177.58,-10.50,5.18,0.2411,LOW
2026-01-23 16:17:19,NORMAL,100.00,-173.79,17.15,-3.37,0.2174,LOW
2026-01-23 16:17:21,NORMAL,100.00,-178.36,-4.80,0.30,0.1418,LOW
2026-01-23 16:17:21,DROWSY,95.00,-177.29,-5.71,1.05,0.1787,LOW
2026-01-23 16:17:21,NORMAL,85.50,-176.04,-7.25,-0.14,0.2160,LOW
2026-01-23 16:17:22,NORMAL,96.00,-177.10,-10.84,-4.90,0.2863,LOW
2026-01-23 16:17:24,NORMAL,100.00,-175.63,20.10,-7.70,0.2824,LOW
2026-01-23 16:17:26,NORMAL,100.00,179.19,25.97,-8.59,0.3241,LOW
2026-01-23 16:17:28,NORMAL,100.00,179.74,24.35,-7.56,0.2770,LOW
2026-01-23 16:17:30,NORMAL,100.00,-179.54,22.91,-8.20,0.2629,LOW
2026-01-23 16:17:31,NORMAL,100.00,-178.24,13.94,-3.59,0.2674,LOW
2026-01-23 16:17:33,NORMAL,100.00,178.97,0.00,0.53,0.2366,LOW
2026-01-23 16:17:35,NORMAL,100.00,178.45,-6.21,-2.56,0.2537,LOW
2026-01-23 16:17:37,NORMAL,100.00,177.66,-15.08,-3.50,0.3314,LOW
2026-01-23 16:17:39,NORMAL,100.00,-178.33,12.45,-6.57,0.3034,LOW
2026-01-23 16:17:41,NORMAL,100.00,179.28,27.43,-7.65,0.2783,LOW
2026-01-23 16:17:42,NORMAL,100.00,178.26,33.14,-7.79,0.2879,LOW
2026-01-23 16:24:10,NORMAL,100.00,177.89,25.02,-7.71,0.3018,LOW
2026-01-23 16:24:11,NORMAL,100.00,178.98,27.84,-6.52,0.2837,LOW
2026-01-23 16:24:12,NORMAL,100.00,179.64,27.58,-5.70,0.3073,LOW
2026-01-23 16:24:14,NORMAL,100.00,177.65,29.04,-5.32,0.2935,LOW
2026-01-23 16:24:15,DROWSY,95.00,175.39,27.83,-5.89,0.1523,LOW
2026-01-23 16:24:15,DROWSY,85.00,175.25,27.53,-5.96,0.1729,LOW
2026-01-23 16:24:16,NORMAL,15.50,176.49,27.20,-5.92,0.2117,CRITICAL
2026-01-23 16:24:16,NORMAL,23.00,177.39,25.11,-5.76,0.2742,CRITICAL
2026-01-23 16:24:18,NORMAL,38.00,-174.38,12.00,-4.01,0.2694,HIGH
2026-01-23 16:24:19,NORMAL,53.00,-171.35,14.76,-5.50,0.2816,MEDIUM
2026-01-23 16:24:20,DROWSY,60.00,-172.71,19.08,-10.24,0.1047,MEDIUM
2026-01-23 16:24:20,DROWSY,35.00,-172.40,18.44,-9.75,0.1761,HIGH
2026-01-23 16:24:20,NORMAL,25.50,-172.31,18.37,-9.85,0.2211,CRITICAL
2026-01-23 16:24:21,NORMAL,39.00,N/A,N/A,N/A,0.0000,HIGH
2026-01-23 16:24:23,NORMAL,54.00,-165.72,24.57,-8.88,0.3382,MEDIUM
2026-01-23 16:24:24,NORMAL,69.00,-147.99,30.74,174.04,0.3055,MEDIUM
2026-01-23 16:24:25,NORMAL,84.00,N/A,N/A,N/A,0.0000,LOW
